nodo_id_viejo,location_id,nodo_id_nuevo
0,1438941,234
1,1438942,184
2,1438942,184
3,1438943,139
4,1440110,235
5,1440111,185
6,1440111,185
7,1440112,140
8,1440110,235
9,1440111,185
10,1440111,185
11,1440112,140
12,1441280,236
13,1441281,186
14,1441281,186
15,1441282,141
16,1441280,236
17,1441281,186
18,1441281,186
19,1441282,141
20,1442459,237
21,1442460,187
22,1442460,187
23,1442461,142
24,1458832,581
25,1458833,524
26,1458833,524
27,1458834,470
28,1458834,470
29,1458835,416
30,1460006,582
31,1460007,525
32,1460007,525
33,1460008,471
34,1460008,471
35,1460009,417
36,1460006,582
37,1460007,525
38,1460007,525
39,1460008,471
40,1460008,471
41,1460009,417
42,1460009,417
43,1460010,374
44,1460010,374
45,1460011,332
46,1460012,284
47,1460013,238
48,1460013,238
49,1460014,188
50,1460014,188
51,1460015,143
52,1460015,143
53,1460016,103
54,1460016,103
55,1460017,67
56,1460017,67
57,1460018,36
58,1461181,583
59,1461182,526
60,1461182,526
61,1461183,472
62,1461183,472
63,1461184,418
64,1461184,418
65,1461185,375
66,1461185,375
67,1461186,333
68,1461187,285
69,1461188,239
70,1461188,239
71,1461189,189
72,1461189,189
73,1461190,144
74,1461190,144
75,1461191,104
76,1461191,104
77,1461192,68
78,1461192,68
79,1461193,37
80,1461178,722
81,1461179,680
82,1461179,680
83,1461180,633
84,1461180,633
85,1461181,583
86,1461181,583
87,1461182,526
88,1461182,526
89,1461183,472
90,1461183,472
91,1461184,418
92,1461184,418
93,1461185,375
94,1461185,375
95,1461186,333
96,1461186,333
97,1461187,285
98,1461187,285
99,1461188,239
100,1461188,239
101,1461189,189
102,1461189,189
103,1461190,144
104,1461190,144
105,1461191,104
106,1461191,104
107,1461192,68
108,1461192,68
109,1461193,37
110,1462354,723
111,1462355,681
112,1462355,681
113,1462356,634
114,1462356,634
115,1462357,584
116,1462357,584
117,1462358,527
118,1462358,527
119,1462359,473
120,1462359,473
121,1462360,419
122,1462360,419
123,1462361,376
124,1462361,376
125,1462362,334
126,1462362,334
127,1462363,286
128,1462363,286
129,1462364,240
130,1462364,240
131,1462365,190
132,1462365,190
133,1462366,145
134,1462366,145
135,1462367,105
136,1462367,105
137,1462368,69
138,1462368,69
139,1462369,38
140,1462354,723
141,1462355,681
142,1462355,681
143,1462356,634
144,1462356,634
145,1462357,584
146,1462357,584
147,1462358,527
148,1462358,527
149,1462359,473
150,1462359,473
151,1462360,419
152,1462360,419
153,1462361,376
154,1462361,376
155,1462362,334
156,1462362,334
157,1462363,286
158,1462363,286
159,1462364,240
160,1462364,240
161,1462365,190
162,1462365,190
163,1462366,145
164,1462366,145
165,1462367,105
166,1462367,105
167,1462368,69
168,1462368,69
169,1462369,38
170,1463530,724
171,1463531,682
172,1463531,682
173,1463532,635
174,1463532,635
175,1463533,585
176,1463533,585
177,1463534,528
178,1463534,528
179,1463535,474
180,1463535,474
181,1463536,420
182,1463536,420
183,1463537,377
184,1463537,377
185,1463538,335
186,1463538,335
187,1463539,287
188,1463539,287
189,1463540,241
190,1463540,241
191,1463541,191
192,1463541,191
193,1463542,146
194,1463542,146
195,1463543,106
196,1463543,106
197,1463544,70
198,1463544,70
199,1463545,39
200,1463530,724
201,1463531,682
202,1463531,682
203,1463532,635
204,1463532,635
205,1463533,585
206,1463533,585
207,1463534,528
208,1463534,528
209,1463535,474
210,1463535,474
211,1463536,420
212,1463536,420
213,1463537,377
214,1463537,377
215,1463538,335
216,1463538,335
217,1463539,287
218,1463539,287
219,1463540,241
220,1463540,241
221,1463541,191
222,1463541,191
223,1463542,146
224,1463542,146
225,1463543,106
226,1463543,106
227,1463544,70
228,1463544,70
229,1463545,39
230,1464706,725
231,1464707,683
232,1464707,683
233,1464708,636
234,1464708,636
235,1464709,586
236,1464709,586
237,1464710,529
238,1464710,529
239,1464711,475
240,1464711,475
241,1464712,421
242,1464712,421
243,1464713,378
244,1464713,378
245,1464714,336
246,1464714,336
247,1464715,288
248,1464715,288
249,1464716,242
250,1464716,242
251,1464717,192
252,1464717,192
253,1464718,147
254,1464718,147
255,1464719,107
256,1464719,107
257,1464720,71
258,1464720,71
259,1464721,40
260,1464706,725
261,1464707,683
262,1464707,683
263,1464708,636
264,1464708,636
265,1464709,586
266,1464709,586
267,1464710,529
268,1464710,529
269,1464711,475
270,1464711,475
271,1464712,421
272,1464712,421
273,1464713,378
274,1464713,378
275,1464714,336
276,1464714,336
277,1464715,288
278,1464715,288
279,1464716,242
280,1464716,242
281,1464717,192
282,1464717,192
283,1464718,147
284,1464718,147
285,1464719,107
286,1464719,107
287,1464720,71
288,1464720,71
289,1464721,40
290,1465879,726
291,1465880,684
292,1465880,684
293,1465881,637
294,1465881,637
295,1465882,587
296,1465882,587
297,1465883,530
298,1465883,530
299,1465884,476
300,1465884,476
301,1465885,422
302,1465885,422
303,1465886,379
304,1465886,379
305,1465887,337
306,1465887,337
307,1465888,289
308,1465888,289
309,1465889,243
310,1465889,243
311,1465890,193
312,1465890,193
313,1465891,148
314,1465891,148
315,1465892,108
316,1465892,108
317,1465893,72
318,1465893,72
319,1465894,41
320,1465879,726
321,1465880,684
322,1465880,684
323,1465881,637
324,1465881,637
325,1465882,587
326,1465882,587
327,1465883,530
328,1465883,530
329,1465884,476
330,1465884,476
331,1465885,422
