nodo_id,latitude,longitude,msnm,location_id
0,17.65,-64.9,0,1529697
1,17.65,-64.86,0,1530918
2,17.65,-64.82,0,1532140
3,17.69,-64.9,8,1529696
4,17.69,-64.86,62,1530917
5,17.69,-64.82,33,1532139
6,17.69,-64.78,21,1533371
7,17.69,-64.74,16,1534603
8,17.69,-64.7,21,1535845
9,17.69,-64.66,14,1537085
10,17.69,-64.62,0,1538326
11,17.73,-64.9,49,1529695
12,17.73,-64.86,165,1530916
13,17.73,-64.82,112,1532138
14,17.73,-64.78,58,1533370
15,17.73,-64.74,81,1534602
16,17.73,-64.7,56,1535844
17,17.73,-64.66,52,1537084
18,17.73,-64.62,23,1538325
19,17.77,-64.9,6,1529694
20,17.77,-64.86,15,1530915
21,17.77,-64.82,28,1532137
22,17.77,-64.78,56,1533369
23,17.77,-64.74,12,1534601
24,17.77,-64.7,0,1535843
25,17.77,-64.66,0,1537083
26,17.77,-64.62,1,1538324
27,17.81,-64.82,0,1532136
28,17.81,-64.78,0,1533368
29,17.81,-64.74,0,1534600
30,17.89,-66.98,0,1467068
31,17.89,-66.94,0,1468247
32,17.89,-66.9,0,1469430
33,17.89,-66.22,0,1489641
34,17.89,-66.18,0,1490844
35,17.89,-66.14,0,1492047
36,17.93,-67.22,0,1460018
37,17.93,-67.18,0,1461193
38,17.93,-67.14,0,1462369
39,17.93,-67.1,0,1463545
40,17.93,-67.06,0,1464721
41,17.93,-67.02,0,1465894
42,17.93,-66.98,0,1467067
43,17.93,-66.94,3,1468246
44,17.93,-66.9,2,1469429
45,17.93,-66.86,0,1470613
46,17.93,-66.82,0,1471798
47,17.93,-66.78,0,1472983
48,17.93,-66.66,0,1476538
49,17.93,-66.62,0,1477723
50,17.93,-66.58,0,1478908
51,17.93,-66.54,0,1480088
52,17.93,-66.46,0,1482458
53,17.93,-66.42,0,1483645
54,17.93,-66.38,0,1484835
55,17.93,-66.34,0,1486033
56,17.93,-66.3,0,1487234
57,17.93,-66.26,1,1488437
58,17.93,-66.22,1,1489640
59,17.93,-66.18,1,1490843
60,17.93,-66.14,0,1492046
61,17.93,-66.1,0,1493251
62,17.93,-66.06,0,1494457
63,17.93,-66.02,0,1495665
64,17.93,-65.98,0,1496876
65,17.93,-65.94,0,1498091
66,17.93,-65.9,0,1499309
67,17.97,-67.22,0,1460017
68,17.97,-67.18,7,1461192
69,17.97,-67.14,17,1462368
70,17.97,-67.1,10,1463544
71,17.97,-67.06,1,1464720
72,17.97,-67.02,3,1465893
73,17.97,-66.98,8,1467066
74,17.97,-66.94,54,1468245
75,17.97,-66.9,22,1469428
76,17.97,-66.86,41,1470612
77,17.97,-66.82,11,1471797
78,17.97,-66.78,0,1472982
79,17.97,-66.74,0,1474166
80,17.97,-66.7,0,1475351
81,17.97,-66.66,0,1476537
82,17.97,-66.62,0,1477722
83,17.97,-66.58,1,1478907
84,17.97,-66.54,0,1480087
85,17.97,-66.5,0,1481272
86,17.97,-66.46,0,1482457
87,17.97,-66.42,3,1483644
88,17.97,-66.38,3,1484834
89,17.97,-66.34,0,1486032
90,17.97,-66.3,1,1487233
91,17.97,-66.26,4,1488436
92,17.97,-66.22,4,1489639
93,17.97,-66.18,11,1490842
94,17.97,-66.14,18,1492045
95,17.97,-66.1,8,1493250
96,17.97,-66.06,3,1494456
97,17.97,-66.02,1,1495664
98,17.97,-65.98,1,1496875
99,17.97,-65.94,1,1498090
100,17.97,-65.9,0,1499308
101,17.97,-65.86,0,1500520
102,17.97,-65.82,0,1501730
103,18.01,-67.22,0,1460016
104,18.01,-67.18,16,1461191
105,18.01,-67.14,29,1462367
106,18.01,-67.1,33,1463543
107,18.01,-67.06,26,1464719
108,18.01,-67.02,22,1465892
109,18.01,-66.98,23,1467065
110,18.01,-66.94,28,1468244
111,18.01,-66.9,61,1469427
112,18.01,-66.86,69,1470611
113,18.01,-66.82,90,1471796
114,18.01,-66.78,78,1472981
115,18.01,-66.74,83,1474165
116,18.01,-66.7,174,1475350
117,18.01,-66.66,120,1476536
118,18.01,-66.62,70,1477721
119,18.01,-66.58,43,1478906
120,18.01,-66.54,35,1480086
121,18.01,-66.5,52,1481271
122,18.01,-66.46,75,1482456
123,18.01,-66.42,87,1483643
124,18.01,-66.38,81,1484833
125,18.01,-66.34,172,1486031
126,18.01,-66.3,166,1487232
127,18.01,-66.26,111,1488435
128,18.01,-66.22,201,1489638
129,18.01,-66.18,348,1490841
130,18.01,-66.14,410,1492044
131,18.01,-66.1,396,1493249
132,18.01,-66.06,330,1494455
133,18.01,-66.02,152,1495663
134,18.01,-65.98,274,1496874
135,18.01,-65.94,237,1498089
136,18.01,-65.9,205,1499307
137,18.01,-65.86,93,1500519
138,18.01,-65.82,0,1501729
139,18.05,-67.94,1,1438943
140,18.05,-67.9,21,1440112
141,18.05,-67.86,27,1441282
142,18.05,-67.82,0,1442461
143,18.05,-67.22,0,1460015
144,18.05,-67.18,49,1461190
145,18.05,-67.14,111,1462366
146,18.05,-67.1,138,1463542
147,18.05,-67.06,100,1464718
148,18.05,-67.02,103,1465891
149,18.05,-66.98,97,1467064
150,18.05,-66.94,117,1468243
151,18.05,-66.9,192,1469426
152,18.05,-66.86,153,1470610
153,18.05,-66.82,172,1471795
154,18.05,-66.78,168,1472980
155,18.05,-66.74,186,1474164
156,18.05,-66.7,149,1475349
157,18.05,-66.66,166,1476535
158,18.05,-66.62,186,1477720
159,18.05,-66.58,167,1478905
160,18.05,-66.54,106,1480085
161,18.05,-66.5,142,1481270
162,18.05,-66.46,239,1482455
163,18.05,-66.42,158,1483642
164,18.05,-66.38,152,1484832
165,18.05,-66.34,196,1486030
166,18.05,-66.3,273,1487231
167,18.05,-66.26,335,1488434
168,18.05,-66.22,453,1489637
169,18.05,-66.18,463,1490840
170,18.05,-66.14,657,1492043
171,18.05,-66.1,568,1493248
172,18.05,-66.06,361,1494454
173,18.05,-66.02,391,1495662
174,18.05,-65.98,412,1496873
175,18.05,-65.94,285,1498088
176,18.05,-65.9,22,1499306
177,18.05,-65.86,8,1500518
178,18.05,-65.82,19,1501728
179,18.05,-65.78,0,1502933
180,18.05,-65.58,0,1508993
181,18.05,-65.54,0,1510213
182,18.05,-65.5,0,1511434
183,18.05,-65.46,0,1512654
184,18.09,-67.94,11,1438942
185,18.09,-67.9,73,1440111
186,18.09,-67.86,57,1441281
187,18.09,-67.82,0,1442460
188,18.09,-67.22,0,1460014
189,18.09,-67.18,29,1461189
190,18.09,-67.14,23,1462365
191,18.09,-67.1,31,1463541
192,18.09,-67.06,53,1464717
193,18.09,-67.02,113,1465890
194,18.09,-66.98,166,1467063
195,18.09,-66.94,223,1468242
196,18.09,-66.9,360,1469425
197,18.09,-66.86,333,1470609
198,18.09,-66.82,466,1471794
199,18.09,-66.78,566,1472979
200,18.09,-66.74,657,1474163
201,18.09,-66.7,482,1475348
202,18.09,-66.66,461,1476534
203,18.09,-66.62,429,1477719
204,18.09,-66.58,354,1478904
205,18.09,-66.54,238,1480084
206,18.09,-66.5,197,1481269
207,18.09,-66.46,285,1482454
208,18.09,-66.42,302,1483641
209,18.09,-66.38,269,1484831
210,18.09,-66.34,197,1486029
211,18.09,-66.3,291,1487230
212,18.09,-66.26,461,1488433
213,18.09,-66.22,597,1489636
214,18.09,-66.18,554,1490839
215,18.09,-66.14,557,1492042
216,18.09,-66.1,592,1493247
217,18.09,-66.06,681,1494453
218,18.09,-66.02,617,1495661
219,18.09,-65.98,336,1496872
220,18.09,-65.94,302,1498087
221,18.09,-65.9,150,1499305
222,18.09,-65.86,95,1500517
223,18.09,-65.82,35,1501727
224,18.09,-65.78,2,1502932
