nodo_id,latitude,longitude,msnm
0,17.65,-64.9,0
1,17.65,-64.86,0
2,17.65,-64.82,0
3,17.69,-64.9,8
4,17.69,-64.86,62
5,17.69,-64.82,33
6,17.69,-64.78,21
7,17.69,-64.74,16
8,17.69,-64.7,21
9,17.69,-64.66,14
10,17.69,-64.62,0
11,17.73,-64.9,49
12,17.73,-64.86,165
13,17.73,-64.82,112
14,17.73,-64.78,58
15,17.73,-64.74,81
16,17.73,-64.7,56
17,17.73,-64.66,52
18,17.73,-64.62,23
19,17.77,-64.9,6
20,17.77,-64.86,15
21,17.77,-64.82,28
22,17.77,-64.78,56
23,17.77,-64.74,12
24,17.77,-64.7,0
25,17.77,-64.66,0
26,17.77,-64.62,1
27,17.81,-64.82,0
28,17.81,-64.78,0
29,17.81,-64.74,0
30,17.89,-66.98,0
31,17.89,-66.94,0
32,17.89,-66.9,0
33,17.89,-66.22,0
34,17.89,-66.18,0
35,17.89,-66.14,0
36,17.93,-67.22,0
37,17.93,-67.18,0
38,17.93,-67.14,0
39,17.93,-67.1,0
40,17.93,-67.06,0
41,17.93,-67.02,0
42,17.93,-66.98,0
43,17.93,-66.94,3
44,17.93,-66.9,2
45,17.93,-66.86,0
46,17.93,-66.82,0
47,17.93,-66.78,0
48,17.93,-66.66,0
49,17.93,-66.62,0
50,17.93,-66.58,0
51,17.93,-66.54,0
52,17.93,-66.46,0
53,17.93,-66.42,0
54,17.93,-66.38,0
55,17.93,-66.34,0
56,17.93,-66.3,0
57,17.93,-66.26,1
58,17.93,-66.22,1
59,17.93,-66.18,1
60,17.93,-66.14,0
61,17.93,-66.1,0
62,17.93,-66.06,0
63,17.93,-66.02,0
64,17.93,-65.98,0
65,17.93,-65.94,0
66,17.93,-65.9,0
67,17.97,-67.22,0
68,17.97,-67.18,7
69,17.97,-67.14,17
70,17.97,-67.1,10
71,17.97,-67.06,1
72,17.97,-67.02,3
73,17.97,-66.98,8
74,17.97,-66.94,54
75,17.97,-66.9,22
76,17.97,-66.86,41
77,17.97,-66.82,11
78,17.97,-66.78,0
79,17.97,-66.74,0
80,17.97,-66.7,0
81,17.97,-66.66,0
82,17.97,-66.62,0
83,17.97,-66.58,1
84,17.97,-66.54,0
85,17.97,-66.5,0
86,17.97,-66.46,0
87,17.97,-66.42,3
88,17.97,-66.38,3
89,17.97,-66.34,0
90,17.97,-66.3,1
91,17.97,-66.26,4
92,17.97,-66.22,4
93,17.97,-66.18,11
94,17.97,-66.14,18
95,17.97,-66.1,8
96,17.97,-66.06,3
97,17.97,-66.02,1
98,17.97,-65.98,1
99,17.97,-65.94,1
100,17.97,-65.9,0
101,17.97,-65.86,0
102,17.97,-65.82,0
103,18.01,-67.22,0
104,18.01,-67.18,16
105,18.01,-67.14,29
106,18.01,-67.1,33
107,18.01,-67.06,26
108,18.01,-67.02,22
109,18.01,-66.98,23
110,18.01,-66.94,28
111,18.01,-66.9,61
112,18.01,-66.86,69
113,18.01,-66.82,90
114,18.01,-66.78,78
115,18.01,-66.74,83
116,18.01,-66.7,174
117,18.01,-66.66,120
118,18.01,-66.62,70
119,18.01,-66.58,43
