cve_mun,municipio,cve_loc_cabecera,nombre_cabecera
001,Abasolo,0001,Abasolo
002,Aldama,0001,Aldama
003,Altamira,0001,Altamira
004,Antiguo Morelos,0001,Antiguo Morelos
005,Burgos,0001,Burgos
006,Bustamante,0001,Bustamante
007,Camargo,0001,Ciudad Camargo
008,Casas,0001,Casas
009,Ciudad Madero,0001,Ciudad Madero
010,Cruillas,0001,Cruillas
011,Gómez Farías,0036,Gómez Farías
012,González,0001,González
013,Güémez,0001,Güémez
014,Guerrero,0001,Nueva Ciudad Guerrero
015,Gustavo Díaz Ordaz,0001,Ciudad Gustavo Díaz Ordaz
016,Hidalgo,0001,Hidalgo
017,Jaumave,0001,Jaumave
018,Jiménez,0001,Santander Jiménez
019,Llera,0001,Llera de Canales
020,Mainero,0001,Villa Mainero
021,El Mante,0001,Ciudad Mante
022,Matamoros,0001,Heroica Matamoros
023,Méndez,0001,Méndez
024,Mier,0001,Mier
025,Miguel Alemán,0001,Ciudad Miguel Alemán
026,Miquihuana,0001,Miquihuana
027,Nuevo Laredo,0001,Nuevo Laredo
028,Nuevo Morelos,0001,Nuevo Morelos
029,Ocampo,0001,Ocampo
030,Padilla,0001,Nueva Villa de Padilla
031,Palmillas,0001,Palmillas
032,Reynosa,0001,Reynosa
033,Río Bravo,0001,Ciudad Río Bravo
034,San Carlos,0001,San Carlos
035,San Fernando,0001,San Fernando
036,San Nicolás,0001,San Nicolás
037,Soto la Marina,0001,Soto la Marina
038,Tampico,0001,Tampico
039,Tula,0001,Ciudad Tula
040,Valle Hermoso,0001,Valle Hermoso
041,Victoria,0001,Ciudad Victoria
042,Villagrán,0001,Villagrán
043,Xicoténcatl,0001,Xicoténcatl
