cvegeo,ciudad,municipio,cve_mun,calidad,fecha_local,temperature_media,temperature_min,temperature_max,relative_humidity_media,relative_humidity_min,relative_humidity_max,dew_point_media,dew_point_min,dew_point_max,wind_speed_media,wind_speed_min,wind_speed_max,pressure_media,pressure_min,pressure_max,precipitable_water_media,precipitable_water_min,precipitable_water_max,ghi_media,ghi_min,ghi_max,dni_media,dni_min,dni_max,dhi_media,dhi_min,dhi_max,n_horas,wind_direction_media
280030001,Altamira,Altamira,003,media,2019-12-31,19.662,19.364,20.07,94.172,90.963,96.6,18.691,18.527,18.822,1.444,1.098,2.132,1013.797,1013.245,1014.556,4.241,4.098,4.406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,41.636
280030001,Altamira,Altamira,003,media,2020-01-01,21.228,18.559,24.661,91.842,78.038,99.825,19.773,18.15,21.135,1.657,0.7,2.401,1008.537,1004.574,1012.556,4.456,4.111,4.706,47.763,0.0,161.678,25.907,0.0,190.614,42.557,0.0,161.638,24,23.856
280030001,Altamira,Altamira,003,media,2020-01-02,23.056,19.753,27.536,91.173,72.154,100.0,21.402,19.553,22.797,1.765,0.7,3.401,1001.819,997.556,1005.556,4.11,3.8,4.397,94.992,0.0,485.767,37.523,0.0,283.91,71.364,0.0,308.487,24,104.477
280030001,Altamira,Altamira,003,media,2020-01-03,21.815,17.008,25.934,70.445,39.264,100.0,15.371,10.732,22.404,4.659,2.532,6.87,1009.794,1002.574,1020.574,1.913,1.294,3.943,148.166,0.0,630.732,138.946,0.0,685.326,79.837,0.0,342.628,24,2.424
280030001,Altamira,Altamira,003,media,2020-01-04,17.398,13.606,22.466,59.546,37.086,76.45,8.903,6.924,11.84,2.861,1.294,4.57,1024.447,1021.245,1027.556,1.395,1.097,1.801,207.677,0.0,767.875,329.458,0.0,947.411,35.69,0.0,112.66,24,7.923
280030001,Altamira,Altamira,003,media,2020-01-05,15.557,11.673,19.867,70.915,44.153,95.103,9.775,7.152,11.82,1.923,0.9,2.667,1023.646,1020.611,1026.583,1.143,1.097,1.201,209.09,0.0,777.249,322.59,0.0,963.477,37.644,0.0,136.97,24,188.313
280030001,Altamira,Altamira,003,media,2020-01-06,17.094,11.84,22.093,76.143,49.327,94.972,12.391,10.175,16.216,2.546,0.639,3.906,1016.827,1012.583,1020.556,1.44,1.197,2.098,211.965,0.0,774.08,356.733,0.0,963.535,31.537,0.0,92.072,24,184.103
280030001,Altamira,Altamira,003,media,2020-01-07,18.03,14.914,20.815,78.797,47.863,99.978,13.825,8.769,17.136,2.706,1.062,5.763,1021.116,1017.556,1023.556,2.657,2.095,3.7,156.542,0.0,682.55,121.024,0.0,798.651,83.438,0.0,322.886,24,356.837
280030001,Altamira,Altamira,003,media,2020-01-08,19.262,16.569,23.17,85.844,66.39,99.887,16.649,15.822,17.545,2.209,0.999,3.393,1019.014,1015.584,1021.611,2.996,2.701,3.601,195.7,0.0,728.222,280.191,0.0,854.248,46.759,0.0,151.101,24,193.37
280030001,Altamira,Altamira,003,media,2020-01-09,20.326,16.355,24.9,86.78,65.412,100.0,17.817,16.049,19.656,3.033,1.632,4.402,1013.205,1009.584,1016.198,2.915,2.668,3.2,174.003,0.0,590.528,212.34,0.0,813.716,67.249,0.0,270.244,24,179.009
