cvegeo,ciudad,municipio,cve_mun,calidad,fecha_local,temperature_media,temperature_min,temperature_max,relative_humidity_media,relative_humidity_min,relative_humidity_max,dew_point_media,dew_point_min,dew_point_max,wind_speed_media,wind_speed_min,wind_speed_max,pressure_media,pressure_min,pressure_max,precipitable_water_media,precipitable_water_min,precipitable_water_max,ghi_media,ghi_min,ghi_max,dni_media,dni_min,dni_max,dhi_media,dhi_min,dhi_max,n_horas,wind_direction_media
TAM,Tamaulipas urbano,Reynosa,032,alta,2019-12-31,16.32,15.792,17.131,77.036,72.194,81.938,12.081,11.85,12.58,2.068,1.748,2.418,1004.811,1004.106,1005.197,3.438,3.27,3.648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,72.099
TAM,Tamaulipas urbano,Reynosa,032,alta,2020-01-01,18.01,15.364,22.094,85.053,72.622,93.213,15.256,12.879,16.593,1.812,1.09,3.002,999.736,996.027,1003.428,4.24,3.743,4.436,41.035,0.0,158.564,16.013,0.0,60.512,33.379,0.0,122.846,24,359.335
TAM,Tamaulipas urbano,Reynosa,032,alta,2020-01-02,19.819,15.477,26.438,72.309,45.249,92.127,13.97,12.482,14.824,2.116,0.998,4.227,992.83,989.636,995.394,3.471,2.604,4.078,60.087,0.0,245.217,24.705,0.0,167.563,48.401,0.0,188.43,24,227.777
TAM,Tamaulipas urbano,Reynosa,032,alta,2020-01-03,18.223,13.349,24.277,53.829,28.86,79.932,7.455,3.933,13.281,4.553,1.911,7.152,1001.745,994.535,1011.047,1.502,1.201,2.474,175.129,0.0,663.456,254.325,0.0,854.282,47.898,0.0,161.426,24,329.035
TAM,Tamaulipas urbano,Reynosa,032,alta,2020-01-04,15.294,9.734,22.815,50.264,24.598,68.577,3.721,0.784,5.686,2.415,1.339,3.29,1014.147,1011.54,1016.774,0.998,0.837,1.398,197.637,0.0,743.011,343.473,0.0,977.858,31.096,0.0,96.076,24,344.478
TAM,Tamaulipas urbano,Reynosa,032,alta,2020-01-05,15.16,8.896,23.249,58.797,28.502,82.105,5.588,2.797,8.929,2.278,1.477,3.268,1012.458,1009.522,1015.759,0.88,0.827,0.953,201.541,0.0,749.494,354.484,0.0,989.144,29.54,0.0,86.779,24,180.92
TAM,Tamaulipas urbano,Reynosa,032,alta,2020-01-06,16.715,10.002,25.182,64.277,30.789,87.734,7.917,4.678,11.128,2.475,1.376,3.906,1006.344,1002.886,1008.976,1.132,0.919,1.627,199.337,0.0,742.598,346.204,0.0,969.417,31.016,0.0,107.172,24,173.149
TAM,Tamaulipas urbano,Reynosa,032,alta,2020-01-07,16.499,12.801,22.082,63.666,41.514,80.676,8.598,6.861,10.6,2.881,1.249,4.924,1012.146,1008.545,1014.542,1.942,1.654,2.291,145.314,0.0,572.155,143.637,0.0,575.863,72.429,0.0,281.343,24,19.07
TAM,Tamaulipas urbano,Reynosa,032,alta,2020-01-08,18.152,12.76,23.999,77.603,54.929,94.516,13.737,10.769,16.813,3.126,1.162,4.9,1008.598,1004.682,1012.534,2.635,2.317,2.922,133.876,0.0,477.14,144.138,0.0,479.337,61.427,0.0,210.302,24,133.088
TAM,Tamaulipas urbano,Reynosa,032,alta,2020-01-09,21.013,16.617,27.472,76.435,47.145,94.887,15.827,14.168,18.021,4.279,3.666,5.672,1001.619,998.835,1004.108,2.794,2.677,2.981,154.914,0.0,589.329,173.046,0.0,621.924,63.429,0.0,233.939,24,170.091
