nodo_id,cvegeo,ciudad,municipio,cve_mun,es_cabecera,conglomerado,nombre_conglomerado,metodo,peso,area_urbana_celda_km2,dist_centro_km,n_nodos_dentro,n_nodos_ciudad,calidad,region
2120,280010001,Abasolo,Abasolo,001,True,29,Abasolo,celda,0.943752,5.532,1.179,0,4,baja,Centro
2121,280010001,Abasolo,Abasolo,001,True,29,Abasolo,celda,0.033184,0.1945,4.101,0,4,baja,Centro
2167,280010001,Abasolo,Abasolo,001,True,29,Abasolo,celda,0.02255,0.1322,3.235,0,4,baja,Centro
2119,280010001,Abasolo,Abasolo,001,True,29,Abasolo,celda,0.000514,0.003,4.326,0,4,baja,Centro
637,280020001,Aldama,Aldama,002,True,44,Aldama,celda,0.694106,4.3576,1.701,0,3,baja,Sur
636,280020001,Aldama,Aldama,002,True,44,Aldama,celda,0.217051,1.3626,2.682,0,3,baja,Sur
578,280020001,Aldama,Aldama,002,True,44,Aldama,celda,0.088843,0.5578,3.933,0,3,baja,Sur
25,280030001,Altamira,Altamira,003,True,41,Tampico,dentro,0.573937,14.3639,1.331,2,8,media,Sur
26,280030001,Altamira,Altamira,003,True,41,Tampico,dentro,0.311096,7.7858,2.777,2,8,media,Sur
12,280030001,Altamira,Altamira,003,True,41,Tampico,celda,0.047721,1.1943,4.739,2,8,media,Sur
75,280030001,Altamira,Altamira,003,True,41,Tampico,celda,0.027215,0.6811,6.895,2,8,media,Sur
24,280030001,Altamira,Altamira,003,True,41,Tampico,celda,0.017694,0.4428,5.422,2,8,media,Sur
76,280030001,Altamira,Altamira,003,True,41,Tampico,celda,0.012972,0.3247,4.463,2,8,media,Sur
27,280030001,Altamira,Altamira,003,True,41,Tampico,celda,0.008633,0.2161,6.872,2,8,media,Sur
13,280030001,Altamira,Altamira,003,True,41,Tampico,celda,0.000731,0.0183,5.329,2,8,media,Sur
154,280040001,Antiguo Morelos,Antiguo Morelos,004,True,1,Antiguo Morelos,celda,0.495785,1.2544,2.555,0,4,baja,Mante
118,280040001,Antiguo Morelos,Antiguo Morelos,004,True,1,Antiguo Morelos,celda,0.356897,0.903,2.847,0,4,baja,Mante
155,280040001,Antiguo Morelos,Antiguo Morelos,004,True,1,Antiguo Morelos,celda,0.119674,0.3028,3.242,0,4,baja,Mante
119,280040001,Antiguo Morelos,Antiguo Morelos,004,True,1,Antiguo Morelos,celda,0.027644,0.0699,3.477,0,4,baja,Mante
3764,280400004,Anáhuac,Valle Hermoso,040,False,51,Anáhuac,celda,0.960159,2.8323,0.758,0,2,baja,Fronteriza
3763,280400004,Anáhuac,Valle Hermoso,040,False,51,Anáhuac,celda,0.039841,0.1175,3.748,0,2,baja,Fronteriza
2148,280300009,Barretal,Padilla,030,False,12,Barretal,celda,0.598783,1.4415,1.977,0,2,baja,Centro
2149,280300009,Barretal,Padilla,030,False,12,Barretal,celda,0.401217,0.9659,2.319,0,2,baja,Centro
3094,280050001,Burgos,Burgos,005,True,34,Burgos,celda,0.402801,0.7565,2.806,0,4,baja,Valle de San Fernando
3095,280050001,Burgos,Burgos,005,True,34,Burgos,celda,0.28558,0.5364,2.883,0,4,baja,Valle de San Fernando
3133,280050001,Burgos,Burgos,005,True,34,Burgos,celda,0.240963,0.4526,3.161,0,4,baja,Valle de San Fernando
3132,280050001,Burgos,Burgos,005,True,34,Burgos,celda,0.070656,0.1327,3.091,0,4,baja,Valle de San Fernando
1344,280060001,Bustamante,Bustamante,006,True,8,Bustamante,celda,0.626486,0.7722,2.477,0,3,baja,Altiplano
1343,280060001,Bustamante,Bustamante,006,True,8,Bustamante,celda,0.340308,0.4195,2.693,0,3,baja,Altiplano
1290,280060001,Bustamante,Bustamante,006,True,8,Bustamante,celda,0.033206,0.0409,3.39,0,3,baja,Altiplano
2803,280350542,Carboneras (La Carbonera),San Fernando,035,False,47,Carboneras (La Carbonera),celda,0.999509,0.6357,3.068,0,2,baja,Valle de San Fernando
2848,280350542,Carboneras (La Carbonera),San Fernando,035,False,47,Carboneras (La Carbonera),celda,0.000491,0.0003,3.293,0,2,baja,Valle de San Fernando
1747,280080001,Casas,Casas,008,True,26,Casas,dentro,1.0,0.9003,0.477,1,1,media,Centro
4118,280070001,Ciudad Camargo,Camargo,007,True,40,Ciudad Camargo,celda,0.678652,4.0141,1.807,0,4,baja,Fronteriza
4101,280070001,Ciudad Camargo,Camargo,007,True,40,Ciudad Camargo,celda,0.211235,1.2494,3.266,0,4,baja,Fronteriza
4117,280070001,Ciudad Camargo,Camargo,007,True,40,Ciudad Camargo,celda,0.083077,0.4914,3.112,0,4,baja,Fronteriza
4100,280070001,Ciudad Camargo,Camargo,007,True,40,Ciudad Camargo,celda,0.027037,0.1599,4.134,0,4,baja,Fronteriza
4069,280150001,Ciudad Gustavo Díaz Ordaz,Gustavo Díaz Ordaz,015,True,39,Ciudad Gustavo Díaz Ordaz,celda,0.827015,2.7607,2.362,0,2,baja,Fronteriza
4068,280150001,Ciudad Gustavo Díaz Ordaz,Gustavo Díaz Ordaz,015,True,39,Ciudad Gustavo Díaz Ordaz,celda,0.172985,0.5774,2.971,0,2,baja,Fronteriza
5,280090001,Ciudad Madero,Ciudad Madero,009,True,41,Tampico,dentro,0.477606,16.2591,1.437,1,5,media,Sur
1,280090001,Ciudad Madero,Ciudad Madero,009,True,41,Tampico,celda,0.172862,5.8848,4.595,1,5,media,Sur
4,280090001,Ciudad Madero,Ciudad Madero,009,True,41,Tampico,celda,0.170859,5.8166,3.45,1,5,media,Sur
10,280090001,Ciudad Madero,Ciudad Madero,009,True,41,Tampico,celda,0.119418,4.0653,5.63,1,5,media,Sur
9,280090001,Ciudad Madero,Ciudad Madero,009,True,41,Tampico,celda,0.059254,2.0172,6.444,1,5,media,Sur
331,280210001,Ciudad Mante,El Mante,021,True,21,Ciudad Mante,dentro,0.484289,11.2052,1.107,1,8,media,Mante
387,280210001,Ciudad Mante,El Mante,021,True,21,Ciudad Mante,celda,0.209956,4.8579,3.34,1,8,media,Mante
332,280210001,Ciudad Mante,El Mante,021,True,21,Ciudad Mante,celda,0.081614,1.8883,3.975,1,8,media,Mante
282,280210001,Ciudad Mante,El Mante,021,True,21,Ciudad Mante,celda,0.065509,1.5157,5.488,1,8,media,Mante
386,280210001,Ciudad Mante,El Mante,021,True,21,Ciudad Mante,celda,0.063426,1.4675,5.475,1,8,media,Mante
388,280210001,Ciudad Mante,El Mante,021,True,21,Ciudad Mante,celda,0.049587,1.1473,5.072,1,8,media,Mante
330,280210001,Ciudad Mante,El Mante,021,True,21,Ciudad Mante,celda,0.044519,1.0301,4.478,1,8,media,Mante
283,280210001,Ciudad Mante,El Mante,021,True,21,Ciudad Mante,celda,0.001101,0.0255,6.686,1,8,media,Mante
4129,280250001,Ciudad Miguel Alemán,Miguel Alemán,025,True,16,Ciudad Miguel Alemán,celda,0.619438,3.8674,2.751,0,2,baja,Fronteriza
4128,280250001,Ciudad Miguel Alemán,Miguel Alemán,025,True,16,Ciudad Miguel Alemán,celda,0.380562,2.376,3.212,0,2,baja,Fronteriza
