cve_mun,municipio,cvegeo,ciudad,nodo_id,latitude,longitude,msnm,metodo,peso,calidad,area_km2
001,Abasolo,280010001,Abasolo,2120,24.05,-98.38,55.0,celda,0.943752,baja,5.861688971708364
002,Aldama,280020001,Aldama,637,22.93,-98.06,142.0,celda,0.694106,baja,6.277992804779133
003,Altamira,280030001,Altamira,25,22.41,-97.94,6.0,dentro,0.573937,media,25.026891289536234
004,Antiguo Morelos,280040001,Antiguo Morelos,154,22.57,-99.1,193.0,celda,0.495785,baja,2.530161527280008
005,Burgos,280050001,Burgos,3094,24.93,-98.82,198.0,celda,0.402801,baja,1.8781809072890938
006,Bustamante,280060001,Bustamante,1343,23.45,-99.78,2140.0,celda,0.340308,baja,1.232583019062327
007,Camargo,280070001,Ciudad Camargo,4118,26.33,-98.82,49.0,celda,0.678652,baja,5.914835478077866
008,Casas,280080001,Casas,1747,23.73,-98.74,157.0,dentro,1.0,media,0.9003164302856245
009,Ciudad Madero,280090001,Ciudad Madero,5,22.29,-97.82,6.0,dentro,0.477606,media,48.024577808636984
010,Cruillas,280100001,Cruillas,2953,24.77,-98.54,213.0,celda,0.773472,baja,1.1538075511076407
011,Gómez Farías,280110036,Gómez Farías,784,23.05,-99.14,228.0,celda,0.918222,baja,2.8808860085807444
012,González,280120001,González,457,22.81,-98.42,99.0,celda,0.568312,baja,6.002259347735708
013,Güémez,280130001,Güémez,1969,23.93,-99.02,175.0,celda,0.978749,baja,2.334309267005373
014,Guerrero,280140001,Nueva Ciudad Guerrero,4167,26.57,-99.22,100.0,dentro,0.903122,media,5.451275126402986
015,Gustavo Díaz Ordaz,280150001,Ciudad Gustavo Díaz Ordaz,4069,26.21,-98.58,42.0,celda,0.827015,baja,5.540276672501961
016,Hidalgo,280160001,Hidalgo,2332,24.25,-99.42,325.0,celda,0.777365,baja,3.8690260609946474
017,Jaumave,280170001,Jaumave,1299,23.41,-99.38,752.0,dentro,0.999265,media,4.232954766080965
018,Jiménez,280180001,Santander Jiménez,2308,24.21,-98.5,111.0,celda,0.849881,baja,3.9238932276803618
019,Llera,280190001,Llera de Canales,1196,23.33,-99.02,319.0,celda,0.89607,baja,3.5921306424831947
020,Mainero,280200001,Villa Mainero,2707,24.57,-99.62,492.0,celda,1.0,baja,1.0290479133079964
021,El Mante,280210001,Ciudad Mante,331,22.73,-98.98,84.0,dentro,0.484289,media,23.137506503830128
022,Matamoros,280220001,Heroica Matamoros,3841,25.85,-97.5,13.0,dentro,0.15747,alta,117.97285823079403
023,Méndez,280230001,Méndez,3271,25.13,-98.58,86.0,celda,0.994089,baja,1.335024741143407
024,Mier,280240001,Mier,4138,26.41,-99.14,67.0,celda,0.424555,baja,5.633622074792839
025,Miguel Alemán,280250001,Ciudad Miguel Alemán,4129,26.37,-99.02,68.0,celda,0.619438,baja,14.688009260394871
026,Miquihuana,280260001,Miquihuana,1508,23.57,-99.74,1946.0,celda,0.777153,baja,2.36029144849156
027,Nuevo Laredo,280270001,Nuevo Laredo,4342,27.45,-99.54,137.0,dentro,0.137521,alta,126.71423305419039
028,Nuevo Morelos,280280001,Nuevo Morelos,115,22.53,-99.22,283.0,celda,0.936211,baja,2.3300664428794158
029,Ocampo,280290001,Ocampo,490,22.85,-99.34,363.0,dentro,1.0,media,4.774076505785639
030,Padilla,280300001,Nueva Villa de Padilla,2107,24.05,-98.9,154.0,dentro,1.0,media,2.518367788983318
031,Palmillas,280310001,Palmillas,1123,23.29,-99.54,1309.0,celda,0.864382,baja,2.5833845245300826
032,Reynosa,280320001,Reynosa,3978,26.05,-98.3,51.0,dentro,0.102921,alta,169.8909052747277
033,Río Bravo,280330001,Ciudad Río Bravo,3925,25.97,-98.06,32.0,celda,0.212703,media,28.288285603976338
034,San Carlos,280340001,San Carlos,2724,24.57,-98.94,492.0,celda,1.0,baja,1.1817772947626066
035,San Fernando,280350001,San Fernando,3037,24.85,-98.14,63.0,dentro,0.642216,media,20.056950949824213
036,San Nicolás,280360001,San Nicolás,2866,24.69,-98.82,739.0,celda,1.0,baja,0.1045932826530937
037,Soto la Marina,280370001,Soto la Marina,1812,23.77,-98.22,21.0,celda,0.806723,baja,5.120015439013955
038,Tampico,280380001,Tampico,1,22.25,-97.86,21.0,dentro,0.277424,media,54.96607888053379
039,Tula,280390001,Ciudad Tula,713,23.01,-99.7,1219.0,celda,0.526348,baja,9.440460309484314
040,Valle Hermoso,280400001,Valle Hermoso,3659,25.65,-97.82,15.0,dentro,0.321324,media,21.349302567212167
041,Victoria,280410001,Ciudad Victoria,1737,23.73,-99.14,331.0,dentro,0.244836,alta,70.5526463219043
042,Villagrán,280420001,Villagrán,2561,24.45,-99.5,385.0,celda,0.195955,baja,1.3287540606205512
043,Xicoténcatl,280430001,Xicoténcatl,732,23.01,-98.94,97.0,celda,0.758058,baja,4.496901288912881
