,gain
kt_lag1,0.4061984
kt_last_op,0.1513481
cloud_type_lag1,0.09716863
cos_hour,0.023120826
kt_lag2,0.015705377
hour,0.0153960325
temperature_lag1,0.015314742
solar_zenith_angle,0.013668439
relative_humidity_lag1,0.013386418
clearsky_dni,0.013207267
wind_direction_lag1,0.012754562
sin_hour,0.012617089
precipitable_water_lag1,0.012590522
clearsky_ghi,0.012291328
ozone_lag1,0.011880342
fill_flag_lag1,0.011728004
aerosol_optical_depth_lag1,0.011708823
asymmetry_lag1,0.011639119
clearsky_dhi,0.011524805
doy,0.010789718
cos_doy,0.010447862
pressure_lag1,0.010433527
kt_lag24,0.010380171
sin_doy,0.010319437
cloud_fill_flag_lag1,0.010270668
ssa_lag1,0.010174609
alpha_lag1,0.01002927
wind_speed_lag1,0.009784537
kt_lag3,0.009485654
dew_point_lag1,0.009156104
month,0.008183686
surface_albedo_lag1,0.0072959648
longitude,0.0
latitude,0.0
msnm,0.0
