,gain
kt_lag1,0.37346408
kt_last_op,0.13762294
cloud_type_lag1,0.046416376
cos_hour,0.025302658
hour,0.015057634
temperature_max_12h,0.010698082
kt_mean_3,0.0103507815
wind_direction_lag1,0.010016885
cloud_fill_flag_lag1,0.010011205
temperature_lag1,0.009782986
clearsky_dni,0.009698954
relative_humidity_lag1,0.009691442
clearsky_dhi,0.0096755065
pressure_tend_12h,0.009623196
ssa_lag1,0.009595663
relative_humidity_min_12h,0.009337823
precipitable_water_lag1,0.009250142
solar_zenith_angle,0.009237621
temperature_tend_12h,0.009150722
precipitable_water_tend_12h,0.009109192
clearsky_ghi,0.009016783
aerosol_optical_depth_lag1,0.008960667
ozone_lag1,0.008949219
fill_flag_lag1,0.008785116
kt_ramp1,0.008753575
asymmetry_lag1,0.008671312
kt_mean_6,0.008326535
temperature_min_12h,0.008215948
kt_lag24,0.008193766
kt_rango_6,0.008154598
kt_std_6,0.008124325
kt_ramp_abs1,0.0080380365
kt_lag6,0.007993179
precipitable_water_media_12h,0.007977286
relative_humidity_media_12h,0.0077584432
pressure_lag1,0.00749175
kt_lag2,0.0074770497
alpha_lag1,0.0073187635
kt_rango_3,0.0072122975
kt_lag3,0.0072106402
cos_doy,0.007208471
kt_lag5,0.0070988685
dew_point_lag1,0.007066224
kt_std_3,0.006981784
sin_doy,0.006978288
doy,0.0069703944
month,0.0068111154
relative_humidity_max_12h,0.0066848123
kt_ramp2,0.0066481875
kt_lag48,0.0065797963
wind_speed_lag1,0.0065516206
sin_hour,0.006499813
surface_albedo_lag1,0.006337627
kt_lag4,0.0058598937
longitude,0.0
msnm,0.0
latitude,0.0
