,gain
kt_last_op,0.30169195
kt_lag1,0.29835904
cloud_type_lag1,0.11727357
kt_lag2,0.053613976
fill_flag_lag1,0.020721842
precipitable_water_lag1,0.015361091
cos_hour,0.0128821125
cloud_type_media_12h,0.011163475
kt_lag3,0.009652212
temperature_lag1,0.008907196
ssa_lag1,0.0084750075
cloud_fill_flag_lag1,0.008272488
aerosol_optical_depth_lag1,0.0063429973
wind_direction_lag1,0.0059889276
sin_hour,0.0059525613
temperature_tend_12h,0.00591028
temperature_max_12h,0.005650773
clearsky_dni,0.0055195815
precipitable_water_media_12h,0.0052966992
solar_zenith_angle,0.005218806
clearsky_dhi,0.005056634
kt_lag24,0.005000632
asymmetry_lag1,0.004907129
hour,0.004847632
temperature_min_12h,0.004835876
precipitable_water_tend_12h,0.004298751
pressure_lag1,0.0040808264
clearsky_ghi,0.004004477
relative_humidity_min_12h,0.003993026
pressure_tend_12h,0.0038752207
cos_doy,0.0038303747
relative_humidity_lag1,0.0037926403
dew_point_lag1,0.0037593804
relative_humidity_media_12h,0.003759158
ozone_lag1,0.0037283285
relative_humidity_max_12h,0.0035788456
surface_albedo_lag1,0.0035496012
doy,0.0034751578
wind_speed_lag1,0.0034194533
alpha_lag1,0.0034091065
month,0.0032935347
sin_doy,0.0032495111
longitude,0.0
msnm,0.0
latitude,0.0
