,gain
kt_lag1,0.63461405
kt_last_op,0.08009428
cloud_type_lag1,0.04782359
cos_hour,0.013289091
hour,0.009279706
temperature_lag1,0.008576912
temperature_max_12h,0.008364625
pressure_tend_12h,0.008106012
wind_direction_lag1,0.0080257375
sin_hour,0.0076419995
ssa_lag1,0.0075502642
solar_zenith_angle,0.007291714
month,0.007205081
relative_humidity_lag1,0.0068595894
asymmetry_lag1,0.0067345346
precipitable_water_lag1,0.0066431244
temperature_tend_12h,0.00661254
kt_lag24,0.006422112
clearsky_dni,0.006421096
ozone_lag1,0.0061346344
cos_doy,0.006096801
clearsky_dhi,0.0060045603
precipitable_water_tend_12h,0.005986067
cloud_type_media_12h,0.0058669467
clearsky_ghi,0.005731662
temperature_min_12h,0.005670722
doy,0.005616001
fill_flag_lag1,0.005575687
relative_humidity_min_12h,0.0054898644
aerosol_optical_depth_lag1,0.005467975
kt_lag2,0.005415062
sin_doy,0.0053840163
cloud_fill_flag_lag1,0.005120982
relative_humidity_media_12h,0.0046569407
wind_speed_lag1,0.004402164
alpha_lag1,0.0043920195
kt_lag3,0.004153393
dew_point_lag1,0.0039694775
relative_humidity_max_12h,0.0037559688
precipitable_water_media_12h,0.0036142026
pressure_lag1,0.0016889336
msnm,0.0011318272
longitude,0.00065531244
latitude,0.00027446955
surface_albedo_lag1,0.00018830832
