,gain
kt_lag1,0.52754253
kt_last_op,0.19457048
cloud_type_lag1,0.061356083
cos_hour,0.012712562
kd_difusa_lag1,0.0116126295
hour,0.0075657787
temperature_max_12h,0.0068947896
fill_flag_lag1,0.0065945806
dewpoint_depresion_lag1,0.006347483
kt_lag24,0.006220733
wind_direction_lag1,0.006121085
sin_hour,0.006024087
wind_dir_cos_lag1,0.0059817117
clearsky_ghi,0.00538044
temperature_lag1,0.005347576
ssa_lag1,0.005307417
clearsky_dhi,0.0050331424
cloud_type_media_12h,0.0050008306
kt_lag2,0.0049939603
month,0.0049690255
pressure_tend_12h,0.0049071615
wind_dir_sin_lag1,0.0048568132
precipitable_water_lag1,0.0047409837
precipitable_water_tend_12h,0.0045438684
solar_zenith_angle,0.0044248006
temperature_tend_12h,0.004312982
relative_humidity_lag1,0.004195657
asymmetry_lag1,0.004084846
doy,0.004012727
cos_doy,0.003917099
relative_humidity_min_12h,0.0038362434
sin_doy,0.0037480656
aerosol_optical_depth_lag1,0.0037410806
kd_difusa_tend,0.0036605054
clearsky_dni,0.0036527715
relative_humidity_max_12h,0.0036497656
ozone_lag1,0.0034801087
wind_v_lag1,0.0033628843
cloud_fill_flag_lag1,0.0029760827
precipitable_water_media_12h,0.0029442818
kt_lag3,0.002928637
alpha_lag1,0.0028438407
kd_difusa_lag2,0.0026297576
dew_point_lag1,0.0026165345
wind_speed_lag1,0.0025025704
relative_humidity_media_12h,0.0024631068
wind_u_lag1,0.002452097
temperature_min_12h,0.0022734914
pressure_lag1,0.0014089075
msnm,0.0011372837
longitude,0.001127056
latitude,0.0009485078
surface_albedo_lag1,4.258696e-05
