,gain
kt_lag1,0.5740089
kt_vecinos_mean,0.12937069
cloud_type_lag1,0.060425047
kt_last_op,0.047393285
cloud_op_lag1,0.01878204
kd_difusa_lag1,0.014602607
kt_vecinos_std,0.008714785
cos_hour,0.0076319673
frac_nublado_12h,0.0065474687
hour,0.005686062
cloud_op_media_12h,0.004782037
dewpoint_depresion_lag1,0.0040279613
temperature_lag1,0.0039560846
fill_flag_lag1,0.003934598
wind_dir_cos_lag1,0.0038371193
kt_lag24,0.0037280582
clearsky_dhi,0.0036413702
ssa_lag1,0.0035287826
clearsky_dni,0.003480238
kd_difusa_tend,0.0034781627
temperature_max_12h,0.0034023772
pressure_tend_12h,0.003342043
wind_direction_lag1,0.0033415593
clearsky_ghi,0.0032398612
sin_hour,0.0031685133
precipitable_water_lag1,0.0030568214
precipitable_water_tend_12h,0.0029728108
kt_lag2,0.0029631515
wind_v_lag1,0.0028507682
solar_zenith_angle,0.0028087187
wind_dir_sin_lag1,0.0028001715
cos_doy,0.0027942667
month,0.0027908173
cloud_fill_flag_lag1,0.0026803382
doy,0.0026180076
temperature_tend_12h,0.0025900397
sin_doy,0.0025789621
ozone_lag1,0.0025697672
asymmetry_lag1,0.0025473747
relative_humidity_min_12h,0.0024780994
aerosol_optical_depth_lag1,0.0022946948
relative_humidity_lag1,0.002272086
kd_difusa_lag2,0.0021419115
alpha_lag1,0.0020121462
kt_grad_x,0.0017805138
wind_u_lag1,0.0017643777
dew_point_lag1,0.0017452355
temperature_min_12h,0.0017445377
relative_humidity_media_12h,0.0017247326
wind_speed_lag1,0.0017175089
relative_humidity_max_12h,0.001716541
precipitable_water_media_12h,0.0016868506
kt_grad_y,0.0016503759
kt_lag3,0.0015183544
pressure_lag1,0.0013329545
kt_adveccion,0.0011805841
msnm,0.00096659124
longitude,0.0007726082
latitude,0.0006097744
surface_albedo_lag1,0.00021594262
