,gain
kt_now,0.15672888
kt_lag1,0.09825094
cloud_op_now,0.07265137
kt_lag2,0.0578995
cloud_type_now,0.052724946
gap_horas,0.046938207
kt_lag3,0.037601743
clearsky_dni,0.03306131
kd_difusa_now,0.031443562
cos_doy,0.029222019
kt_std3,0.026956037
clearsky_dhi,0.0262404
cos_hour,0.021627741
horizonte,0.020512724
sin_hour,0.020314114
doy,0.019523198
ozone_now,0.0185227
sin_doy,0.018240932
precipitable_water_now,0.01811604
aerosol_optical_depth_now,0.01690977
msnm,0.016651584
dewpoint_depresion_now,0.015954074
wind_v_now,0.014878597
pressure_now,0.014713249
dew_point_now,0.014635586
relative_humidity_now,0.013569453
hour,0.01342664
month,0.013366998
wind_u_now,0.011033066
temperature_now,0.010698138
clearsky_ghi,0.010345922
longitude,0.00970553
kt_ramp1,0.009411302
solar_zenith_angle,0.0078021945
latitude,0.0003214251
