,gain
kt_lag1,0.5584451
kt_last_op,0.146969
kt_vecinos_mean_r3,0.09596721
cloud_op_vecinos_mean,0.051451642
kt_vecinos_mean,0.027516725
kt_vecinos_mean_r2,0.018498909
cloud_op_lag1,0.0070524504
kd_difusa_lag1,0.0046175104
fill_flag_lag1,0.0036721288
cloud_op_media_12h,0.0033921693
frac_nublado_12h,0.003281907
cos_hour,0.0032115246
cloud_type_lag1,0.0031559495
ssa_lag1,0.0031014031
kt_lag3,0.0030904848
kt_upwind,0.0026638058
wind_dir_cos_lag1,0.0026239518
kt_lag24,0.0025737938
temperature_lag1,0.0025429535
kd_difusa_tend,0.0023264538
dewpoint_depresion_lag1,0.0022922053
kt_lag2,0.0021063217
cloud_fill_flag_lag1,0.0021031462
clearsky_dhi,0.0020981545
wind_v_lag1,0.002058192
temperature_max_12h,0.0018993112
clearsky_dni,0.001842007
month,0.0017574115
precipitable_water_tend_12h,0.0017466808
precipitable_water_lag1,0.0017347346
relative_humidity_min_12h,0.0017243286
doy,0.0016895001
solar_zenith_angle,0.001652127
pressure_tend_12h,0.0015628642
kd_difusa_lag2,0.0013902617
aerosol_optical_depth_lag1,0.0013859365
wind_direction_lag1,0.0013238699
sin_hour,0.0012267288
sin_doy,0.0011970057
cos_doy,0.0011907199
kt_grad_x,0.0011863683
temperature_tend_12h,0.0011862512
hour,0.0011839764
clearsky_ghi,0.0011694948
temperature_min_12h,0.0011567053
ozone_lag1,0.0011288265
relative_humidity_media_12h,0.0011005031
precipitable_water_media_12h,0.0010776417
relative_humidity_lag1,0.0009960384
asymmetry_lag1,0.00093164894
wind_u_lag1,0.00092591555
kt_vecinos_std,0.00086588983
wind_dir_sin_lag1,0.0008378614
wind_speed_lag1,0.0008100143
dew_point_lag1,0.0007758454
alpha_lag1,0.00075682026
pressure_lag1,0.00069158257
msnm,0.00066144776
relative_humidity_max_12h,0.00056617043
longitude,0.00050537934
kt_adveccion,0.0005046037
surface_albedo_lag1,0.0004462906
latitude,0.0002340391
kt_grad_y,0.00016414866
