split,variante,segmento,n,RMSE,MAE,MBE,skill_vs_clearsky
train,A_carryforward,global,12350,83.05044307683593,40.10223788087182,2.2291704406158197,0.5360965483617086
train,A_carryforward,limpio_ff0,10723,84.17853429732895,39.39526653278902,2.14370992214713,0.5315518123956449
train,A_carryforward,rellenado_ff_pos,1627,75.19342759217876,44.761644005943616,2.792411460615671,0.5691888756789396
train,B_consecutivos,global,11255,85.53943547935013,41.05409650152541,3.017761603628208,0.5221935260074562
train,B_consecutivos,limpio_ff0,9933,86.31650358194867,40.34342814859569,3.326858873623868,0.5196541493525184
train,B_consecutivos,rellenado_ff_pos,1322,79.4581554158041,46.3937854195669,0.6953234925337316,0.5447546631758984
val,A_carryforward,global,4112,84.62523670617138,41.81243472756082,1.8036524757817358,0.5646290083503289
val,A_carryforward,limpio_ff0,3712,86.67878784242468,42.03653388947126,1.4954527161526163,0.5522248892886221
val,A_carryforward,rellenado_ff_pos,400,62.42513659155995,39.73279450503193,4.663746245139965,0.690402690802185
val,B_consecutivos,global,3747,87.13235668221131,42.771294144104566,2.250698040190655,0.5517306419452443
val,B_consecutivos,limpio_ff0,3433,88.92505427970583,43.01386297826579,2.497930952612442,0.5406208714236131
val,B_consecutivos,rellenado_ff_pos,314,64.35340781022097,40.11925972475592,-0.4523293112233381,0.6808394345035715
test,A_carryforward,global,4123,84.87255937778005,44.58592429821895,2.1244684589938085,0.537887189635847
test,A_carryforward,limpio_ff0,3734,86.48215700045654,45.573986954368166,2.0650666991766187,0.5409469480200937
test,A_carryforward,rellenado_ff_pos,389,67.49695077018376,35.10153880191769,2.694664271737739,0.4798289299504156
test,B_consecutivos,global,3757,87.49378112644672,45.72308384670004,2.817971020068665,0.5236152016370837
test,B_consecutivos,limpio_ff0,3451,88.6679141152622,46.473064638320814,2.978665300956917,0.5293448036097382
test,B_consecutivos,rellenado_ff_pos,306,72.95544603896924,37.26496714119906,1.0056966300511705,0.43776256558245663
