fill_flag,n_obs,pct,n_operativas,ghi_medio,clearsky_ghi_medio,kt_medio_op,cloud_type_medio,cloud_fill_flag_medio,zenith_medio
0,174765369,90.915,79230960,233.94,277.18,0.8447,1.94,0.0,91.04
4,1986741,1.034,1752041,337.76,445.61,0.7698,2.94,0.0,58.55
7,1401616,0.729,1199079,302.41,414.43,0.7484,3.05,0.0,60.8
11,872064,0.454,730266,273.97,388.75,0.7285,3.24,0.74,62.63
14,2382960,1.24,1166935,153.33,212.85,0.6971,3.55,0.56,87.68
18,537224,0.279,442931,232.26,345.65,0.7043,3.48,0.78,65.5
21,501411,0.261,397973,210.4,320.76,0.6977,3.45,1.58,67.31
25,393529,0.205,304271,194.21,302.06,0.6897,3.6,1.61,69.07
29,1439874,0.749,632791,82.11,132.85,0.5991,4.45,1.4,90.97
32,308807,0.161,244258,167.15,269.42,0.6723,3.79,1.7,70.62
36,304517,0.158,229677,152.3,250.05,0.6709,3.75,1.74,72.01
39,251265,0.131,186894,143.41,238.19,0.6703,3.9,2.55,72.82
43,1089960,0.567,514475,58.77,102.59,0.5619,4.93,2.3,90.87
46,219562,0.114,168425,122.41,208.78,0.6528,4.26,2.66,74.6
50,226455,0.118,160739,110.59,190.61,0.6553,4.3,3.47,76.8
54,189386,0.099,133374,106.42,184.76,0.6561,4.67,3.56,76.3
57,809531,0.421,465820,63.39,107.79,0.5717,5.47,3.65,84.37
61,172543,0.09,125143,92.01,161.8,0.6444,5.27,3.67,77.69
64,179522,0.093,120505,84.34,149.15,0.6492,5.42,3.72,78.6
68,155675,0.081,101114,80.28,142.67,0.6489,5.62,4.55,79.06
71,825782,0.43,390488,50.49,80.97,0.5934,5.98,4.82,83.46
75,142567,0.074,95041,71.99,128.1,0.6453,5.89,4.61,81.34
79,145903,0.076,90915,68.15,121.55,0.6525,5.85,5.51,80.36
82,127399,0.066,75162,65.18,117.41,0.6511,5.8,5.57,80.68
86,879289,0.457,291230,40.07,65.4,0.6172,6.03,5.83,84.4
89,104604,0.054,68160,66.58,118.22,0.6656,6.09,5.62,80.44
93,114823,0.06,69499,64.02,114.45,0.6704,6.05,5.68,80.73
96,103082,0.054,59774,61.39,110.73,0.665,5.99,6.55,81.01
100,1598172,0.831,767650,81.55,125.66,0.6144,5.79,5.97,82.52
