fill_flag,n_obs,pct,n_operativas,ghi_medio,clearsky_ghi_medio,kt_medio_op,cloud_type_medio,cloud_fill_flag_medio,zenith_medio
0,39872,90.932,18169,241.55,283.29,0.8476,2.05,0.0,90.79
4,300,0.684,275,311.6,448.56,0.7075,3.56,0.0,58.9
7,263,0.6,224,287.54,395.88,0.7532,3.27,0.0,62.39
11,180,0.411,143,243.44,336.91,0.7365,3.25,0.65,66.25
14,587,1.339,294,141.72,188.42,0.7001,3.7,0.55,88.61
18,126,0.287,112,217.29,336.31,0.6897,4.06,0.65,66.42
21,108,0.246,84,204.32,290.31,0.7454,3.07,1.45,69.04
25,83,0.189,67,196.78,293.54,0.6973,3.6,1.43,69.18
29,335,0.764,141,79.46,127.58,0.5966,4.48,1.42,91.14
32,76,0.173,65,206.93,318.61,0.6839,4.45,1.68,66.88
36,75,0.171,54,122.79,221.72,0.6394,4.12,1.6,74.28
39,42,0.096,30,155.6,220.6,0.7582,4.12,2.24,73.86
43,303,0.691,120,44.79,78.55,0.5478,5.01,2.41,91.35
46,45,0.103,35,114.76,184.2,0.6812,5.22,2.38,76.5
50,43,0.098,33,88.63,119.72,0.7668,4.33,3.28,80.24
54,47,0.107,36,74.91,147.47,0.648,4.64,3.6,78.65
57,197,0.449,127,68.2,111.22,0.5851,5.51,3.59,83.8
61,39,0.089,24,105.79,182.56,0.6712,4.23,3.82,76.43
64,44,0.1,27,70.16,114.3,0.6986,5.11,3.59,80.85
68,37,0.084,24,76.22,130.86,0.6699,5.24,4.35,80.22
71,236,0.538,113,43.14,69.31,0.6077,6.02,4.84,84.22
75,31,0.071,21,63.55,86.81,0.6963,6.1,4.45,82.36
79,31,0.071,20,68.58,116.94,0.6745,5.77,5.06,80.45
82,30,0.068,21,43.9,70.7,0.7185,5.5,5.37,83.36
86,205,0.468,83,43.43,63.6,0.6211,5.76,5.87,84.45
89,29,0.066,21,75.0,130.93,0.7471,5.9,5.38,79.46
93,31,0.071,19,68.48,114.06,0.6636,5.84,5.9,80.68
96,29,0.066,16,40.72,64.38,0.6481,5.66,6.66,83.95
100,424,0.967,188,70.05,113.58,0.5951,6.01,6.08,84.91
